Tipo_Documento,Autor,Título,Orientador,Assuntos,Autores_Secundarios,Link_PDF,Fonte_URL,Ano,Assuntos_Lista,Autores_Secundarios_Lista,Caminho_PDF,Resumo_LLM
Dissertação,"Feger, José Elmar","Turismo e desenvolvimento regional :o caso do Meio Oeste Catarinense /José Elmar Feger. - 2002. - vii, 153 f. :il.",Ivo Marcos Theis.,"Turismo  - Santa Catarina, Meio Oeste | Desenvolvimento regional  - Santa Catarina, Meio Oeste","Theis, Ivo Marcos | Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.",http://bu.furb.br/docs/TE/2002/290983_1_1.pdf,https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=avancada&CdMFN=290983,2002,"['Turismo  - Santa Catarina, Meio Oeste', 'Desenvolvimento regional  - Santa Catarina, Meio Oeste']","['Theis, Ivo Marcos', 'Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.']",/content/drive/MyDrive/Data Science/PPGDR/PDFs/Dissertacoes/2002_Dissertação_Feger_290983_1_1.pdf,"Esta dissertação apresenta uma perspectiva do turismo regional tomando por base a
região meio oeste do estado de Santa Catarina. Inicia com uma passagem pelos
conceitos e pelas diversas correntes que tem o segmento como objeto de estudo,
objetivando ter uma visão ampla e sistêmica deste fenômeno. Segue-se uma análise
teórica do turismo e seus efeitos no meio ambiente sócio-econômico regional,
permitindo ter uma noção da sua interferência nos diversos elementos que compõe o
“ambiente” do sistema turístico. Partindo-se deste marco teórico demonstra-se
através dos dados colhidos o atual estágio de desenvolvimento da região objeto de
estudo, abordando-se aspectos gerais e específicos do turismo. Concluí-se que a
região é ainda de potencial turístico, tendo como potencialidades à possibilidade de
explorar os tipos de turismo ligados à natureza, águas termais, de aventura,
complementados com os histórico-culturais. Diante dos fatos evidenciados, sugere-
se algumas alternativas no sentido de incrementar as ações do turismo na região a
fim de que o mesmo possa contribuir para o seu desenvolvimento.
Palavras-chave: região, desenvolvimento regional, turismo, sistema turístico."
Dissertação,"Bavaresco, Paulo Ricardo","Os ciclos econômicos do Extremo Oeste Catarinense :modernização, progresso e empobrecimento /Paulo Ricardo Bavaresco. - 2003. - xi, 125 f. :il.",Orientadora: Maria Luiza Renaux.,"Ciclos econômicos  - Santa Catarina, Extremo Oeste | Desenvolvimento regional  - Santa Catarina, Extremo Oeste","Renaux, Maria Luíza | Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.",http://bu.furb.br/docs/TE/2003/291005_1_1.pdf,https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=avancada&CdMFN=291005,2003,"['Ciclos econômicos  - Santa Catarina, Extremo Oeste', 'Desenvolvimento regional  - Santa Catarina, Extremo Oeste']","['Renaux, Maria Luíza', 'Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.']",/content/drive/MyDrive/Data Science/PPGDR/PDFs/Dissertacoes/2003_Dissertação_Bavaresco_291005_1_1.pdf,"O presente estudo sobre os Ciclos Econômicos do Extremo Oeste de Santa Catarina
analisa o desenvolvimento, progresso e empobrecimento da região. Através da história da
ocupação e colonização, observamos a cultura dos atores e as relações sociais durante os
quatro ciclos econômicos: Pecuária, Erva Mate, Madeira e Agroindustrial. No ciclo da
pecuária destacamos o processo de ocupação das áreas de campo e as delimitações do
território brasileiro. Juntamente a esse processo objetivamos compreender as relações sociais
e o modo de trabalho aplicado sobre a terra pela população serrana. No ciclo da erva mate
destacamos os hábitos culturais do caboclo e a extração da matéria prima para produção da
erva mate, bem como sua comercialização nos estados vizinhos e na Argentina. Durante o
ciclo da madeira, também no processo de colonização, procuramos observar a migração do
Rio Grande do Sul dos colonos de cultura européia. Nesse momento, analisamos as relações
entre os colonos e a população ali existente. A diversidade cultural proporcionou a exclusão
social do caboclo, dado às novas relações de trabalho que seriam aplicadas pelos imigrantes
gaúchos. No ciclo da agroindústria, procuramos assinalar as novas relações de trabalho que
surgem, por motivo da expansão dos abatedouros de suínos. Essas novas relações econômicas
influenciaram, também nas relações sociais, proporcionando o surgimento de novas técnicas
de produção. O estudo, procura ainda, observar as técnicas de produção adotadas pela
população local antes e durante a colonização do Extremo Oeste Catarinense. Essas técnicas,
relações sociais e culturais empregadas tiveram como resultado, a construção da paisagem
regional e um desenvolvimento desigual com sérios desníveis sociais.
Palavras-chave: Ciclos Econômicos. Desenvolvimento Regional. Extremo Oeste. Paisagem.
Região."
Dissertação,"Gerloff, Moacir Paulo","O desenho da paisagem resultante da ocupação da margem do Rio Itajaí, junto à sua foz, em Navegantes-SC /Moacir Paulo Gerloff. - 2003. - xii, 155 f. :il.",Beate Frank.,Desenvolvimento regional  - Navegantes (SC) | Paisagens  - Aspectos ambientais  - Navegantes (SC) | Urbanização  - Aspectos ambientais  - Navegantes (SC),"Frank, Beate | Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.",http://bu.furb.br/docs/TE/2003/291001_1_1.pdf,https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=avancada&CdMFN=291001,2003,"['Desenvolvimento regional  - Navegantes (SC)', 'Paisagens  - Aspectos ambientais  - Navegantes (SC)', 'Urbanização  - Aspectos ambientais  - Navegantes (SC)']","['Frank, Beate', 'Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.']",/content/drive/MyDrive/Data Science/PPGDR/PDFs/Dissertacoes/2003_Dissertação_Gerloff_291001_1_1.pdf,"A partir da visão de que o desenvolvimento de uma região determina
alterações ambientais que interferem na paisagem, o presente trabalho é
resultado da investigação que pretende identificar os fatores determinantes
dessas alterações. Com ele, tendo por referência o desenho do ambiente
construído, buscou-se elaborar um diagnóstico de um espaço urbano, a partir
das transformações impingidas no desenho da paisagem por diversos fatores
responsáveis pelo processo de desenvolvimento que caracteriza a ocupação da
região na qual se insere.
A pesquisa mostra como as características do desenho ambiental na
margem do rio Itajaí, junto à sua foz, em Navegantes, refletem as
contradições do desenvolvimento de toda a região e procura identificar essas
contradições, enfocando-as de forma a considerar todo o conjunto e também
sua evolução. O trabalho, além de identificar a participação do rio Itajaí na
evolução histórica e econômica do município, apresenta o levantamento das
transformações espaciais no decorrer do tempo, suas relações com os fatores
que definiram o desenvolvimento da região e suas tendências. Procurou-se
identificar e também aferir a percepção que as instituições, através de seus
representantes, têm do principal problema que caracteriza o objeto: a
ocupação ilegal.
Finalmente, a partir do quadro existente identificado pelo diagnóstico,
o trabalho sugere ações passíveis de serem desenvolvidas para modificar o
processo que caracteriza a ocupação da margem do rio.
Palavras-chave: desenvolvimento, região, território, desenho da paisagem,
percepção, urbanização. "
Dissertação,"Batista, Luiz Cesar",Desenvolvimento de redes de pequenas agroindústrias e a competitividade sistêmica :um estudo de caso no Município de Mafra-Santa Catarina /Luiz Cesar Batista. - 2003. - 107 f. :il.,Nelson Casarotto Filho.,Agroindústria  - Mafra (SC) | Economia agrícola  - Mafra (SC) | Desenvolvimento regional  - Mafra (SC),"Casarotto Filho, Nelson | Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.",http://bu.furb.br/docs/TE/2003/290988_1_1.pdf,https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=avancada&CdMFN=290988,2003,"['Agroindústria  - Mafra (SC)', 'Economia agrícola  - Mafra (SC)', 'Desenvolvimento regional  - Mafra (SC)']","['Casarotto Filho, Nelson', 'Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.']",/content/drive/MyDrive/Data Science/PPGDR/PDFs/Dissertacoes/2003_Dissertação_Batista_290988_1_1.pdf,"O município de Mafra caracteriza-se por ter grandes áreas agricultáveis e sua economia
predominantemente agrícola. Porém, muitos agricultores, que antes produziam gêneros
alimentícios para subsistência, com a presença do Banco Nacional da Agricultura Familiar
diversificaram a sua produção e iniciaram a implantação de pequenas agroindústrias.
Considerando pois, que a pequena agroindústria de regime familiar se constitui em uma
alternativa de geração de renda, na medida em que diversifica e agrega valor à produção, o
presente estudo de caso buscou-se proceder a uma análise de sua viabilidade econômica.
Foram delimitadas como objeto de estudo os agricultores familiares localizadas no
município de Mafra, associados ao Banco Nacional da Agricultura Familiar. Entre Agosto
e setembro de 2002 foram visitadas 05 agroindústrias, para coleta de informações,
descrição e posterior análise dos seguintes aspectos: estrutura física, equipamentos,
matéria-prima, assistência técnica, associativismo, tecnologia de produção,
comercialização e movimentação financeira. Deste estudo concluiu-se que a agroindústria
de origem familiar é uma alternativa viável economicamente e que deve ser estimulada
pelas entidades que trabalham com produtores rurais. Igualmente importante é o estímulo
ao associativismo, prática incipiente entre os agricultores da microrregião do planalto norte
catarinense, mas que poderia incrementar sua viabilidade econômica.
Palavras chave: associativismo, agricultura familiar, redes agroindústrias, desenvolvimento
regional, competitividade sistêmica e diversificação."
Dissertação,"Triches, Gilmar Paulinho",A suinocultura e o desenvolvimento regional :  o caso do Alto Vale do Itajaí-SC / Gilmar Paulinho Triches. -  2003. - 108 f. : il.,Valmor Schiochet.,"Desenvolvimento regional  - Itajaí, Alto Vale do (SC) | Suínos | Suínos  - Criação","Schiochet, Valmor | Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.",http://bu.furb.br/docs/TE/2003/290981_1_1.pdf,https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=avancada&CdMFN=290981,2003,"['Desenvolvimento regional  - Itajaí, Alto Vale do (SC)', 'Suínos', 'Suínos  - Criação']","['Schiochet, Valmor', 'Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.']",/content/drive/MyDrive/Data Science/PPGDR/PDFs/Dissertacoes/2003_Dissertação_Triches_290981_1_1.pdf,"O presente trabalho aborda a temática da suinocultura e seu desenvolvimento
regional, tendo como estudo de caso a região do Alto Vale do Itajaí, em Santa Catarina.
O objetivo principal foi o de analisar como a suinocultura contribui para o
desenvolvimento da região. O estudo procurou demonstrar a importância da atividade
suinícola para o desenvolvimento regional, através de uma análise da sua evolução histórica,
bem como das suas características e peculiaridades. A pesquisa foi realizada através de
levantamento bibliográfico e documental, bem como através de entrevistas com suinocultores,
empresários e técnicos ligados ao setor. Os resultados da pesquisa mostram que a
suinocultura é uma atividade econômica importante para a região, gerando emprego e renda
para muitas famílias. No entanto, a atividade também apresenta alguns problemas, como a
poluição ambiental e a concentração da produção em grandes empresas. Diante disso, o estudo
propõe algumas alternativas para o desenvolvimento sustentável da suinocultura na região,
como o incentivo à produção familiar, a diversificação da produção e a adoção de práticas
ambientais mais adequadas."
Dissertação,"Gevaerd, Evandro Carlos",A importância da incubadora de base tecnológica :CELTA para o desenvolvimento da Microrregião de Florianópolis /Evandro Carlos Gevaerd. - 2005. - 102 f. :il.,Ivo Marcos Theis.,Desenvolvimento regional  - Florianópolis (SC) | Incubadoras de empresas  - Florianópolis (SC) | Inovações tecnológicas  - Florianópolis (SC),"Theis, Ivo Marcos | Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.",http://bu.furb.br/docs/TE/2005/314056_1_1.pdf,https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=avancada&CdMFN=314056,2005,"['Desenvolvimento regional  - Florianópolis (SC)', 'Incubadoras de empresas  - Florianópolis (SC)', 'Inovações tecnológicas  - Florianópolis (SC)']","['Theis, Ivo Marcos', 'Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.']",/content/drive/MyDrive/Data Science/PPGDR/PDFs/Dissertacoes/2005_Dissertação_Gevaerd_314056_1_1.pdf,"A base dos sistemas de inovação é formada pela interação entre universidade, setor
produtivo e governo. A incubadora de base tecnológica busca estreitar os laços
entre essas entidades, a fim de produzir equipamentos e soluções de alta
tecnologia. A Microrregião de Florianópolis tornou-se referência nacional no setor de
alta tecnologia. A partir disso, este estudo investiga a importância da Incubadora de
Empresas de Base Tecnológica CELTA (Centro Empresarial para Laboração de
Tecnologias Avançadas) para o desenvolvimento regional. A pesquisa analisa as
circunstâncias da criação do CELTA, a importância desse tipo de empreendimento
na nova realidade imposta pela globalização e desvenda assuntos e conceitos que
norteiam ou, de alguma forma, influenciam o objeto de estudo, a fim de esclarecer
questões pontuais e amplas, que fundamentam as conclusões finais e orientam as
recomendações. Para bem situar o objeto de pesquisa, ele é identificado em seu
ambiente e em suas circunstâncias históricas e socioeconômicas. O estudo
considera fatores que demonstram a influência da incubadora como agente de
desenvolvimento regional e sua efetiva contribuição para o crescimento da
Microrregião de Florianópolis. A partir do levantamento dos dados e de sua análise,
o estudo demonstra resultados, tanto econômicos como sociais, que validam o êxito
do CELTA.
Palavras-chave: CELTA; desenvolvimento regional; Florianópolis; incubadoras de
empresas de base tecnológica; inovação."
Dissertação,"Garcia, Maria Célia Ferreira da Silva",Desempenho setorial e desenvolvimento regional :o caso do Médio Vale do Itajaí no período recente /Maria Célia Ferreira da Silva Garcia. - 2005. - 110 f. :il.,Ivo Marcos Theis.,"Desenvolvimento regional  - Itajaí, Médio Vale do (SC) | Desenvolvimento econômico  - Itajaí, Médio Vale do (SC) | Produtividade | Concorrência","Theis, Ivo Marcos | Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.",http://bu.furb.br/docs/TE/2005/304572_1_1.pdf,https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=avancada&CdMFN=304572,2005,"['Desenvolvimento regional  - Itajaí, Médio Vale do (SC)', 'Desenvolvimento econômico  - Itajaí, Médio Vale do (SC)', 'Produtividade', 'Concorrência']","['Theis, Ivo Marcos', 'Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.']",/content/drive/MyDrive/Data Science/PPGDR/PDFs/Dissertacoes/2005_Dissertação_Garcia_304572_1_1.pdf,"Esta pesquisa tem como objetivo identificar e analisar fatores de desenvolvimento econômico
para a região do Médio Vale do Itajaí, Estado de Santa Catarina, no período de 1990 à 2001, a
partir dos processos produtivos utilizados por seu complexo têxtil abrangido pelo Sindicato das
Indústrias de Fiação, Tecelagem e do Vestuário de Blumenau (SINTEX). Também utiliza-se
dados secundários do IBGE, da RAIS e da Secretaria de Estado da Fazenda/Sc. Dentre os
indicadores sócio-econômicos investigados, incluem-se aspectos demográficos, localização dos
domicílios, saneamento básico, educação, mortalidade infantil, longevidade, renda,
potencialidades econômicas, perfil dos trabalhadores e dos estabelecimentos. Constatou-se que a
ênfase na adoção de métodos relativos a subcontratação e terceirização por parte das médias e
grandes empresas do complexo têxtil provocou a propagação de estabelecimentos de micro e
pequenas empresas em vários segmentos deste setor, diminuindo, deste modo, a média de
empregados por empresa e a média salarial. Assim, evidenciou-se que o aumento do valor
adicionado real fora proporcionado muito mais em função do ganho extraordinário da mais-valia
do que pelo aumento da massa salarial, porém, a geração de emprego e renda contribuiu para a
diminuição no percentual de pessoas consideradas pobres desta região. Todos estes fatores
concorreram para o aumento da produtividade total do setor e desenvolvimento econômico da
região, deixando, contudo, transparecer um alto custo social, uma vez que o processo acusa
rendimentos decrescentes de escala.
Palavras-chave: Médio Vale do Itajaí. Desenvolvimento regional. Produtividade.
Competitividade. Complexo Têxtil."
Dissertação,"Costa, Maria Salete",A construção social da relação sociedade e natureza na Região do Consórcio Iberê /Maria Salete Costa. - 2005. - 187 f. :il.,Luciano Félix Florit.,Desenvolvimento econômico  - Aspectos ambientais | Desenvolvimento regional | Políticas públicas | Homem  - Influência sobre a natureza,"Florit, Luciano Félix | Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.",http://bu.furb.br/docs/TE/2005/303113_1_1.pdf,https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=avancada&CdMFN=303113,2005,"['Desenvolvimento econômico  - Aspectos ambientais', 'Desenvolvimento regional', 'Políticas públicas', 'Homem  - Influência sobre a natureza']","['Florit, Luciano Félix', 'Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.']",/content/drive/MyDrive/Data Science/PPGDR/PDFs/Dissertacoes/2005_Dissertação_Costa_303113_1_1.pdf,"Esta dissertação é resultado do interesse em conhecer como foram estabelecidas as relações entre
sociedade e natureza sob a perspectiva de que a natureza e os problemas ambientais são
construídos socialmente. Objetiva identificar as principais visões de natureza da sociedade na
região do Consórcio Iberê particularmente categorizados nos setores estadista, de mercado e da
sociedade civil e pesquisar os elementos que subsidiaram essa construção, na história da
humanidade ocidental, na região oeste do Estado de Santa Catarina. A metodologia utilizada
apoiou-se na análise bibliográfica, pesquisa documental e pesquisa de campo com atores
relevantes da região de abrangência do estudo. Inicialmente procuramos apresentar os elementos
conceituais de análise das visões de natureza ancorados nos valores culturais e criação dos
problemas ambientais, na região de estudo, apresentados sob a perspectiva teórica construtivista.
A seguir, a construção das idéias de natureza na história, tendo como principais veículos a
Cultura, a Ciência e Religião, determinantes dos principais marcos da sociedade ocidental: a
natureza como um organismo vivo, a ruptura e equivalência a uma máquina e, mais
recentemente, buscando os caminhos para a reintegração de forma holística. No processo de
povoamento e ocupação do oeste catarinense, o encontro de diferentes etnias e grupos sociais
que formam a visão atual de percepção de natureza. Posteriormente, os dados das entrevistas e
análise qualitativa a partir dos conflitos identificados entre os atores, os problemas ambientais
percebidos e a atuação das políticas públicas e a educação ambiental para contribuir e articular o
desenvolvimento econômico, no rumo do desenvolvimento sustentável. Finalmente, a conclusão
para qualificar os processos de desenvolvimento regional.
Palavras chaves: idéias de Natureza, sociedade ocidental, problemas ambientais, Consórcio Iberê."
Dissertação,"Bagattoli, Sandro Geraldo",Gestão estratégica de energia elétrica e seus reflexos no desenvolvimento regional /Sandro Geraldo Bagattoli. - 2005. - 329 f. :il.,Eduardo Deschamps.,Energia elétrica  - Consumo | Energia elétrica  - Aspectos econômicos | Desenvolvimento regional | Sistemas de energia elétrica  - Administração,"Deschamps, Eduardo | Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.",http://bu.furb.br/docs/TE/2005/302713_1_1.pdf,https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=avancada&CdMFN=302713,2005,"['Energia elétrica  - Consumo', 'Energia elétrica  - Aspectos econômicos', 'Desenvolvimento regional', 'Sistemas de energia elétrica  - Administração']","['Deschamps, Eduardo', 'Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.']",/content/drive/MyDrive/Data Science/PPGDR/PDFs/Dissertacoes/2005_Dissertação_Bagattoli_302713_1_1.pdf,"Este trabalho aborda a Gestão Estratégica de Energia Elétrica – GEEE – como
forma de propiciar o desenvolvimento regional. Parte-se do princípio de que a energia
elétrica, insumo básico para a produção, é fator determinante para a competitividade
das empresas e, conseqüentemente, para o desenvolvimento regional.
A pesquisa realizada se justifica pela importância da energia elétrica para o
desenvolvimento, tanto em nível macro como microeconômico. Em nível macro, o
desenvolvimento está intrinsecamente ligado à disponibilidade de energia elétrica,
observando-se uma relação direta entre o consumo de energia elétrica e o Produto
Interno Bruto – PIB. Em nível microeconômico, o uso eficiente da energia elétrica
pode representar um diferencial de competitividade para as empresas, especialmente
aquelas intensivas no uso desse insumo.
O objetivo geral desta dissertação consiste em analisar a Gestão Estratégica de
Energia Elétrica como forma de propiciar o desenvolvimento regional. Os objetivos
específicos são: identificar e analisar os fatores que determinam o consumo de energia
elétrica; analisar as relações entre o consumo de energia elétrica e o desenvolvimento
econômico; conceituar e caracterizar a Gestão Estratégica de Energia Elétrica;
identificar e analisar os aspectos da GEEE que podem contribuir para o
desenvolvimento regional.
A metodologia utilizada nesta dissertação envolveu pesquisa bibliográfica e
pesquisa de campo. A pesquisa bibliográfica teve como finalidade a construção do
referencial teórico, abrangendo temas como energia elétrica, desenvolvimento
econômico e gestão estratégica de energia elétrica. A pesquisa de campo teve como
objetivo identificar e analisar as práticas de GEEE em empresas da região de
Blumenau – SC.
Os resultados da pesquisa indicam que a GEEE pode contribuir para o
desenvolvimento regional, através da melhoria da competitividade das empresas, da
redução dos custos de produção, da otimização do uso dos recursos energéticos e da
promoção da sustentabilidade ambiental."
Dissertação,"Pollhein, Julio",Fotografia e desenvolvimento regional no Médio Vale do Itajaí /Julio Pollhein. - 2005. - 120 f. :il.,Orientadora: Marilda Rosa Galvão Checcucci Gonçalves da Silva.,"Fotografia  - Itajaí, Médio Vale do (SC) | Desenvolvimento regional  - Itajaí, Médio Vale do (SC)","Silva, Marilda Rosa G. C. Gonçalves da | Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.",http://bu.furb.br/docs/TE/2005/302699_1_1.pdf,https://bu.furb.br/consulta/portalConsulta/recuperaMfnCompleto.php?menu=avancada&CdMFN=302699,2005,"['Fotografia  - Itajaí, Médio Vale do (SC)', 'Desenvolvimento regional  - Itajaí, Médio Vale do (SC)']","['Silva, Marilda Rosa G. C. Gonçalves da', 'Universidade Regional de Blumenau. Programa de Pós-Graduação em Desenvolvimento Regional.']",/content/drive/MyDrive/Data Science/PPGDR/PDFs/Dissertacoes/2005_Dissertação_Pollhein_302699_1_1.pdf,"O objetivo do trabalho foi identificar de que maneira o desenvolvimento da fotografia
contribuiu para o desenvolvimento regional do Médio Vale do Itajaí, a partir da colonização
européia iniciada em 1850. O trabalho consistiu inicialmente numa pesquisa bibliográfica,
reunido-se um referencial teórico que desse suporte à pesquisa.
Para se alcançar os objetivos almejados recorreu-se na pesquisa a um trabalho de
campo, realizando-se uma coleta de dados nos municípios de Blumenau, Timbó, Indaial,
Ascurra e Rodeio. A análise da fotografia como fonte documental de dados, foi realizada a
partir de um trabalho de sistematização das fotos coletadas, colocando-se numa ordem
cronológica para depois cruzar com informações daquelas encontradas nos arquivos públicos
e particulares. As entrevistas foram realizadas com base num levantamento de campo e da
história oral. As próprias fotografias dos autores foram usadas para despertar a memória e
tornar a entrevista mais completa.
Além de fotógrafos de origem alemã, foi identificado a presença de fotógrafos de
origem italiana nos municípios de Rodeio e Ascurra, regiões onde se instalaram famílias
italianas vindas do Tirol. Estas fotos resultaram num registro de imagens sobre a região e os
seus moradores.
Foi possível evidenciar-se a relação existente entre a fotografia e o desenvolvimento
regional a partir da análise do seu conteúdo. As fotografias caracterizam diversos momentos
da história da região e contribuiu para o seu desenvolvimento e a afirmação da identidade dos
seus moradores."
